Id,Label,timeset,modularity_class,availability,pricing_estimate,supplier_url,notes
MIL0001,Millchem,,19,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
NAT0001,Natchem CC,,20,Extensive botanical and fragrance portfolio,Contact for quote,https://cpt.natchem.co.za/,"Largest supplier portfolio (16 ingredients), exclusive Greentech distributor. All products confirmed available September 2024."
ORC0001,Orchem,,21,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
SAV0001,Savannah Fine Chem (Pty) Ltd,,22,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
SIY0002,IMCD South Africa (Pty) Ltd,,23,Unknown,Unknown,Unknown,"Status requires verification - no current website found."
R1907000,Perf Citrus Therm 701081,,1,Available,Contact for quote,https://o6southafrica.com/,"Fragrance ingredient from o6 Agencies. Confirmed available September 2024."
R1908000,"Azulene Pure (659833) *GRAM",,2,Available,Contact for quote,https://connock.co.uk/,"Specialty ingredient from A&E Connock. Confirmed available September 2024."
R1902003,Iselux Ultra Mild,,3,Available,Contact for quote,https://sc.aecichemicals.co.za/,"Surfactant from AECI Specialty Chemicals. Confirmed available September 2024."
R1905039,Epigenist LS10003,,4,Available,Contact for quote,https://thepersonalcarecoach.com/shop/,"From Botanichem partners. Confirmed available September 2024."
R1905042,Eperuline PW LS 9627,,4,Available,Contact for quote,https://thepersonalcarecoach.com/shop/,"From Botanichem partners. Confirmed available September 2024."
R1905011,CM-Glucan Granulate,,5,Unknown,Unknown,Unknown,"Carst&Walker status requires verification."
R1905012,Perfection Peptide P3,,5,Unknown,Unknown,Unknown,"Carst&Walker status requires verification."
R1905023,AquaCacteen,,5,Unknown,Unknown,Unknown,"Carst&Walker status requires verification."
R1905024,Happybelle-PE,,5,Unknown,Unknown,Unknown,"Carst&Walker status requires verification."
R1905047,"Gatuline Derma - Sensitive",,5,Unknown,Unknown,Unknown,"Carst&Walker status requires verification."
R1911000,Sucragel AOF,,5,Unknown,Unknown,Unknown,"Carst&Walker status requires verification."
R1911001,Carbopol Ultrez 30,,5,Unknown,Unknown,Unknown,"Carst&Walker status requires verification."
R1911003,Carbopol EDT 2050,,5,Unknown,Unknown,Unknown,"Carst&Walker status requires verification."
R1905016,Regu-Stretch,,6,Unknown,Unknown,Unknown,"Chempure status requires verification."
R1905017,Alpaflor Imperatoria,,6,Unknown,Unknown,Unknown,"Chempure status requires verification."
R1905021,L-Carnitine,,6,Unknown,Unknown,Unknown,"Chempure status requires verification."
R1901001,Pomegranate Seed Oil,,7,Unknown,Unknown,Unknown,"CJP Chemicals status requires verification."
R1901006,Borage Oil Refined GLA 20PCT,,7,Unknown,Unknown,Unknown,"CJP Chemicals status requires verification."
R1902000,Oronal LCG,,7,Unknown,Unknown,Unknown,"CJP Chemicals status requires verification."
R1902001,Proteol OAT,,7,Unknown,Unknown,Unknown,"CJP Chemicals status requires verification."
R1905014,Sepicalm S,,7,Unknown,Unknown,Unknown,"CJP Chemicals status requires verification."
R1906000,Montanov L,,7,Unknown,Unknown,Unknown,"CJP Chemicals status requires verification."
R1906001,Montanov S,,7,Unknown,Unknown,Unknown,"CJP Chemicals status requires verification."
R1911002,Sepimax Zen,,7,Unknown,Unknown,Unknown,"CJP Chemicals status requires verification."
R1913014,Grapefruit Oil Pink,,8,Unknown,Unknown,Unknown,"Clive Teubes status requires verification."
R1905004,Hyaluronic Acid HMW,,9,Available,Contact for quote,https://cosmetic-ingredients.co.za/,"From Cosmetic Ingredients. Confirmed available September 2024."
R1901005,"Arlamol LST-LQ-(MH)",,10,Available,Contact for quote,https://www.crodabeauty.com/,"Croda emollient. Confirmed available September 2024."
R1905002,Chronodyn,,10,Available,Contact for quote,https://www.crodabeauty.com/,"Croda specialty active. Confirmed available September 2024."
R1905003,Biopeptide CL,,10,Available,Contact for quote,https://www.crodabeauty.com/,"Croda peptide active. Confirmed available September 2024."
R1905025,"Skin Tightener-ST(TM) PH",,10,Available,Contact for quote,https://www.crodabeauty.com/,"Croda skin firming active. Confirmed available September 2024."
R1905026,Beautifeye,,10,Available,Contact for quote,https://www.crodabeauty.com/,"Croda eye care active. Confirmed available September 2024."
R1905033,Evermat,,10,Available,Contact for quote,https://www.crodabeauty.com/,"Croda mattifying active. Confirmed available September 2024."
R1905034,Intenslim,,10,Available,Contact for quote,https://www.crodabeauty.com/,"Croda slimming active. Confirmed available September 2024."
R1901002,Cetiol Sensoft,,11,Unknown,Unknown,Unknown,"Chemgrit Cosmetics status requires verification."
R1901003,Cetiol B,,11,Unknown,Unknown,Unknown,"Chemgrit Cosmetics status requires verification."
R1905019,Exfo-Bio,,11,Unknown,Unknown,Unknown,"Chemgrit Cosmetics status requires verification."
R1905029,Cosmedia DC,,11,Unknown,Unknown,Unknown,"Chemgrit Cosmetics status requires verification."
R1905030,Uvinul T150,,11,Unknown,Unknown,Unknown,"Chemgrit Cosmetics status requires verification."
R1905043,Cetiol SB45,,11,Unknown,Unknown,Unknown,"Chemgrit Cosmetics status requires verification."
R1905015,Aerosil R972,,12,Unknown,Unknown,Unknown,"Protea Chemicals status requires verification."
R1905022,Drieline 1S,,13,Unknown,Unknown,Unknown,"Orkila status requires verification."
R1905008,Hydranov P,,14,Unknown,Unknown,Unknown,"Vantage Speciality Chemicals status requires verification."
R1905055,Ceramidone,,14,Unknown,Unknown,Unknown,"Vantage Speciality Chemicals status requires verification."
R1905000,Allistin P5,,15,Unknown,Unknown,Unknown,"Exsymol status requires verification."
R1905020,"LPD's Asiatic Centella",,16,Unknown,Unknown,Unknown,"Materia Medica status requires verification."
R1905009,Caffeine,,18,Unknown,Unknown,Unknown,"Merck status requires verification."
R1905010,Malic Acid,,18,Unknown,Unknown,Unknown,"Merck status requires verification."
R1905032,Ronacare AP,,18,Unknown,Unknown,Unknown,"Merck status requires verification."
R1905044,Acnacidol BG,,19,Unknown,Unknown,Unknown,"Millchem status requires verification."
R1905001,Rayolys D,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1905037,ARP 100,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1905045,Meadowsweet Medulat 220016,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913000,Ivy Cosmelene Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913001,"St John's Wort HG Ext",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913002,"Soapwort HG (3009) Extr",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913003,Horsetail Cosmelene Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913004,Centella Asiatica Cosmelene Ex,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913005,Yarrow Phytelene EG 472 Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913006,Geranium HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913007,Lavender HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913008,Rosemary HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913009,Arnica Phytenele EG 001 Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913011,"Phytelene EGX 247 (BG) 620012",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913012,"Phytelene EGX 773 (BG) 620032",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1913013,Passion Flower Cosmelene,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"Greentech botanical from Natchem. Confirmed available September 2024."
R1902002,Rewoderm S1333 KM 5,,21,Unknown,Unknown,Unknown,"Orchem status requires verification."
R1902999,"ColaMate RM / replacement Rewoderm S1333 KM 5",,21,Unknown,Unknown,Unknown,"Orchem status requires verification."
R1901004,"Waglinol 3/929",,22,Unknown,Unknown,Unknown,"Savannah Fine Chem status requires verification."
R1905005,AA2G,,22,Unknown,Unknown,Unknown,"Savannah Fine Chem status requires verification."
R1905006,Hydromanil,,22,Unknown,Unknown,Unknown,"Savannah Fine Chem status requires verification."
R1905007,Acquacell,,22,Unknown,Unknown,Unknown,"Savannah Fine Chem status requires verification."
R1905031,"Ten's Up",,22,Unknown,Unknown,Unknown,"Savannah Fine Chem status requires verification."
R1905028,Celligent,,23,Unknown,Unknown,Unknown,"IMCD South Africa status requires verification."
R1905040,Defensil Plus,,23,Unknown,Unknown,Unknown,"IMCD South Africa status requires verification."
R1905013,Genencare OSMS BA,,23,Unknown,Unknown,Unknown,"TCC0001 status requires verification."
R1905038,ProRenew Complex CLR,,23,Unknown,Unknown,Unknown,"TCC0001 status requires verification."
