Id,Label,timeset,modularity_class,availability,pricing_estimate,supplier_url,notes
R1905029,Cosmedia DC,,11,Unknown,Unknown,Unknown,
R1905030,Uvinul T150,,11,Unknown,Unknown,Unknown,
R1905043,Cetiol SB45,,11,Unknown,Unknown,Unknown,
R1905015,Aerosil R972,,12,Unknown,Unknown,Unknown,
R1905022,Drieline 1S,,13,Unknown,Unknown,Unknown,
R1905008,Hydranov P,,14,Unknown,Unknown,Unknown,
R1905055,Ceramidone,,14,Unknown,Unknown,Unknown,
R1905000,Allistin P5,,15,Unknown,Unknown,Unknown,
R1905020,"LPD's Asiatic Centella",,16,Unknown,Unknown,Unknown,
R1905018,Glyco Repair,,17,Unknown,Unknown,Unknown,
R1905027,Deglysome,,17,Unknown,Unknown,Unknown,
R1905035,Sebonormine OP,,17,Unknown,Unknown,Unknown,
R1905041,Unflamagyl,,17,Unknown,Unknown,Unknown,
R1905046,Dermapur HP OP,,17,Unknown,Unknown,Unknown,
R1905048,Vitagenyl,,17,Unknown,Unknown,Unknown,
R1905049,Detoxyl OP,,17,Unknown,Unknown,Unknown,
R1905050,Celldetox,,17,Unknown,Unknown,Unknown,
R1905051,Mitokinyl,,17,Unknown,Unknown,Unknown,
R1905052,Fermiskin GR,,17,Unknown,Unknown,Unknown,
R1905053,Retilactyl D,,17,Unknown,Unknown,Unknown,
R1905054,Raffermine 2,,17,Unknown,Unknown,Unknown,
R1905056,Eternaline,,17,Unknown,Unknown,Unknown,
R1905057,Oxygeskin,,17,Unknown,Unknown,Unknown,
R1905058,Aquaphyline EL,,17,Unknown,Unknown,Unknown,
R1905009,Caffeine,,18,Unknown,Unknown,Unknown,
R1905010,Malic Acid,,18,Unknown,Unknown,Unknown,
R1905032,Ronacare AP,,18,Unknown,Unknown,Unknown,
R1905044,Acnacidol BG,,19,Unknown,Unknown,Unknown,
R1905001,Rayolys D,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1905037,ARP 100,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1905045,Meadowsweet Medulat 220016,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913000,Ivy Cosmelene Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913001,"St John's Wort HG Ext",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913002,"Soapwort HG (3009) Extr",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913003,Horsetail Cosmelene Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913004,Centella Asiatica Cosmelene Ex,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913005,Yarrow Phytelene EG 472 Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913006,Geranium HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913007,Lavender HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913008,Rosemary HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913009,Arnica Phytenele EG 001 Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913011,"Phytelene EGX 247 (BG) 620012",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913012,"Phytelene EGX 773 (BG) 620032",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913013,Passion Flower Cosmelene,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1902002,Rewoderm S1333 KM 5,,21,Unknown,Unknown,Unknown,
R1902999,"ColaMate RM / replacement Rewoderm S1333 KM 5",,21,Unknown,Unknown,Unknown,
R1901004,"Waglinol 3/929",,22,Unknown,Unknown,Unknown,
R1905005,AA2G,,22,Unknown,Unknown,Unknown,
R1905006,Hydromanil,,22,Unknown,Unknown,Unknown,
R1905007,Acquacell,,22,Unknown,Unknown,Unknown,
R1905031,"Ten's Up",,22,Unknown,Unknown,Unknown,
R1905028,Celligent,,23,Unknown,Unknown,Unknown,
R1905040,Defensil Plus,,23,Unknown,Unknown,Unknown,
R1905013,Genencare OSMS BA,,23,Unknown,Unknown,Unknown,
R1905038,ProRenew Complex CLR,,23,Unknown,Unknown,Unknown,

